category,category_label,name,legal_name,town,url,website
detskiy-otdyh,Детский отдых / лагерь,ART camp,ART camp,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/art-camp/about/,https://incamp.ru/camp/art-lichnost
detskiy-otdyh,Детский отдых / лагерь,BabyCamp - уДачное Детство!,BabyCamp - уДачное Детство!,,https://moskva.fulledu.ru/detskiy-otdyh/babycamp-udachnoe-detstvo/about/,https://dayum.ru/health/gorodskoi-lager-lager-dlya-malyshei-babycamp---udachnoe-detstvo
detskiy-otdyh,Детский отдых / лагерь,Computercamp. Циркус,Computercamp. Циркус,,https://moskva.fulledu.ru/detskiy-otdyh/computercamp-cirkus/about/,https://incamp.ru/camp/computercamp-tsirkus
detskiy-otdyh,Детский отдых / лагерь,DanceCamp,DanceCamp,,https://moskva.fulledu.ru/detskiy-otdyh/dancecamp/about/,https://www.kidsreview.ru/world/camps/msk
detskiy-otdyh,Детский отдых / лагерь,Discovery Club. LapinoCamp,Discovery Club. LapinoCamp,деревня Семенково,https://moskva.fulledu.ru/detskiy-otdyh/discovery-club-lapinocamp/about/,https://incamp.ru
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Creative,E-Camp. Creative,деревня Веретенки,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-creative/about/,https://azti.ru/detskij-lager-yunyj-stroitel
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Special,E-Camp. Special,Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-special/about/,https://ekaturs.ru/detskij-lager-enjoy-camp-podmoskove
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Умные выходные,E-Camp. Умные выходные,Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-umnye-vyhodnye/about/,
detskiy-otdyh,Детский отдых / лагерь,Edinburgh School of English,Edinburgh School of English,Химки,https://moskva.fulledu.ru/detskiy-otdyh/edinburgh-school-of-english/about/,
detskiy-otdyh,Детский отдых / лагерь,EnglishFUN в отеле Тропикана,EnglishFUN в отеле Тропикана,деревня Пешки,https://moskva.fulledu.ru/detskiy-otdyh/englishfun-v-otele-tropikana/about/,
detskiy-otdyh,Детский отдых / лагерь,Family English Английский Городской лагерь,Family English Английский Городской лагерь,Санкт-Петербург,https://moskva.fulledu.ru/detskiy-otdyh/family-english-angliyskiy-gorodskoy-lager/about/,
detskiy-otdyh,Детский отдых / лагерь,FiLMCAMP: School of FiLM,FiLMCAMP: School of FiLM,,https://moskva.fulledu.ru/detskiy-otdyh/filmcamp-school-of-film/about/,
detskiy-otdyh,Детский отдых / лагерь,Football School с тренером из Манчестера,Football School с тренером из Манчестера,поселок Володарского,https://moskva.fulledu.ru/detskiy-otdyh/football-school-s-trenerom-iz-manchestera/about/,
detskiy-otdyh,Детский отдых / лагерь,Fun English Holiday,Fun English Holiday,Химки,https://moskva.fulledu.ru/detskiy-otdyh/fun-english-holiday/about/,
detskiy-otdyh,Детский отдых / лагерь,J-CAMP,J-CAMP,село Левково,https://moskva.fulledu.ru/detskiy-otdyh/j-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ART,kaNNиkулы ART,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-art/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы DANCE,kaNNиkулы DANCE,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-dance/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ENGLISH,kaNNиkулы ENGLISH,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-english/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ORIGINAL,kaNNиkулы ORIGINAL,село Рождествено,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-original/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы SPORT,kaNNиkулы SPORT,село Рождествено,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-sport/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы VOICE,kaNNиkулы VOICE,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-voice/about/,
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы МЕГАНЯНЬ выходного дня,kaNNиkулы МЕГАНЯНЬ выходного дня,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-meganyan-vyhodnogo-dnya/about/,
detskiy-otdyh,Детский отдых / лагерь,KIDZ LAND,KIDZ LAND,деревня Ястребки,https://moskva.fulledu.ru/detskiy-otdyh/kidz-land/about/,
detskiy-otdyh,Детский отдых / лагерь,Lake Joy Camp,Lake Joy Camp,деревня Животино,https://moskva.fulledu.ru/detskiy-otdyh/lake-joy-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,Level-up Language Camp,Level-up Language Camp,,https://moskva.fulledu.ru/detskiy-otdyh/level-up-language-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,Like,Like,поселок Бабаево,https://moskva.fulledu.ru/detskiy-otdyh/like/about/,
detskiy-otdyh,Детский отдых / лагерь,Lingvinity Camp,Lingvinity Camp,Москва,https://moskva.fulledu.ru/detskiy-otdyh/lingvinity-camp-3561-8008/about/,
detskiy-otdyh,Детский отдых / лагерь,Master English Camp,Master English Camp,Руза,https://moskva.fulledu.ru/detskiy-otdyh/master-english-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,NanoCamp. Экспериментаниум!,NanoCamp. Экспериментаниум!,поселок городского типа Обухово,https://moskva.fulledu.ru/detskiy-otdyh/nanocamp-eksperimentanium/about/,
detskiy-otdyh,Детский отдых / лагерь,NEO CAMP,NEO CAMP,поселок Зеленый Городок,https://moskva.fulledu.ru/detskiy-otdyh/neo-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,Ni Hao,Ni Hao,,https://moskva.fulledu.ru/detskiy-otdyh/ni-hao/about/,
detskiy-otdyh,Детский отдых / лагерь,Online,Online,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/online/about/,
detskiy-otdyh,Детский отдых / лагерь,Orange Republic,Orange Republic,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-sovremennyy-lager-orange-republic/about/,http://1kidsrepublic.ru
detskiy-otdyh,Детский отдых / лагерь,Robocamp,Robocamp,поселок городского типа Обухово,https://moskva.fulledu.ru/detskiy-otdyh/robocamp/about/,
detskiy-otdyh,Детский отдых / лагерь,Round the world,Round the world,Химки,https://moskva.fulledu.ru/detskiy-otdyh/round-the-world/about/,
detskiy-otdyh,Детский отдых / лагерь,Star Camp,Star Camp,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/lager-dlya-devochek-quotstar-campquot/about/,
detskiy-otdyh,Детский отдых / лагерь,StudyCamp,StudyCamp,Москва,https://moskva.fulledu.ru/detskiy-otdyh/studycamp/about/,
detskiy-otdyh,Детский отдых / лагерь,Sunny Summer ABC,Sunny Summer ABC,Москва,https://moskva.fulledu.ru/detskiy-otdyh/sunny-summer-abc/about/,
detskiy-otdyh,Детский отдых / лагерь,Top Kids,Top Kids,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/top-kids/about/,
detskiy-otdyh,Детский отдых / лагерь,VSedlo.ru,VSedlo.ru,деревня Жаворонки,https://moskva.fulledu.ru/detskiy-otdyh/vsedloru/about/,
detskiy-otdyh,Детский отдых / лагерь,Weekend Talk,Weekend Talk,поселок дома отдыха Покровское,https://moskva.fulledu.ru/detskiy-otdyh/weekend-talk/about/,
detskiy-otdyh,Детский отдых / лагерь,World Skills KIDS,World Skills KIDS,поселок дома отдыха Авангард,https://moskva.fulledu.ru/detskiy-otdyh/world-skills-kids/about/,https://vozdvighenskoe.ru
detskiy-otdyh,Детский отдых / лагерь,Авангард,Учебно-методический центр военно-патриотического воспитания молодёжи «Авангард»,,https://moskva.fulledu.ru/detskiy-otdyh/uvc-avangard/about/,https://avangard.center
detskiy-otdyh,Детский отдых / лагерь,Авеста-Парк,Авеста-Парк,деревня Гульнево,https://moskva.fulledu.ru/detskiy-otdyh/avesta-park/about/,
detskiy-otdyh,Детский отдых / лагерь,Академия звезд. Весенний MIX,Академия звезд. Весенний MIX,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/akademiya-zvezd-vesenniy-mix/about/,
detskiy-otdyh,Детский отдых / лагерь,Академия тенниса,Академия тенниса,деревня Жерновка,https://moskva.fulledu.ru/detskiy-otdyh/akademiya-tennisa/about/,
detskiy-otdyh,Детский отдых / лагерь,Аллея звезд,Аллея звезд,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/alleya-zvezd/about/,
detskiy-otdyh,Детский отдых / лагерь,Английский клуб 1st Step,Английский клуб 1st Step,поселок Ситники,https://moskva.fulledu.ru/detskiy-otdyh/angliyskiy-klub-1st-step/about/,
detskiy-otdyh,Детский отдых / лагерь,Английский клуб Tradition,Английский клуб Tradition,деревня Ястребки,https://moskva.fulledu.ru/detskiy-otdyh/angliyskiy-klub-tradition/about/,
detskiy-otdyh,Детский отдых / лагерь,БАРС,БАРС,,https://moskva.fulledu.ru/detskiy-otdyh/bars/about/,
detskiy-otdyh,Детский отдых / лагерь,БАРС,БАРС,,https://moskva.fulledu.ru/detskiy-otdyh/bars-914-9752/about/,
detskiy-otdyh,Детский отдых / лагерь,Бесконечная История,Бесконечная История,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-prikluchencheskiy-lager-beskonechnaya-istoriya/about/,http://beskonechno-leto.ru
detskiy-otdyh,Детский отдых / лагерь,Великое Княжество,Великое Княжество,коттеджный посёлок Малаховка-Парк,https://moskva.fulledu.ru/detskiy-otdyh/velikoe-knyazhestvo/about/,
detskiy-otdyh,Детский отдых / лагерь,Веревочный городок FunParks,Веревочный городок FunParks,Одинцово,https://moskva.fulledu.ru/detskiy-otdyh/verevochnyy-gorodok-funparks/about/,http://www.funparks.ru
detskiy-otdyh,Детский отдых / лагерь,Весенний конный лагерь VSedlo.ru,Весенний конный лагерь VSedlo.ru,деревня Жаворонки,https://moskva.fulledu.ru/detskiy-otdyh/vesenniy-konnyy-lager-vsedloru/about/,
detskiy-otdyh,Детский отдых / лагерь,Весенняя биологическая школа,Весенняя биологическая школа,Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/vesennyaya-biologicheskaya-shkola/about/,
detskiy-otdyh,Детский отдых / лагерь,Вселенная Детства,Вселенная Детства,Москва,https://moskva.fulledu.ru/detskiy-otdyh/vselennaya-detstva/about/,
detskiy-otdyh,Детский отдых / лагерь,Вступление,Вступление,,https://moskva.fulledu.ru/detskiy-otdyh/vstuplenie/about/,
detskiy-otdyh,Детский отдых / лагерь,Вуаля в Зеленом шуме,Вуаля в Зеленом шуме,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/vualya-v-zelenom-shume/about/,
detskiy-otdyh,Детский отдых / лагерь,Вуаля. Широкая Масленица,Вуаля. Широкая Масленица,деревня Юрлово,https://moskva.fulledu.ru/detskiy-otdyh/vualya-shirokaya-maslenica/about/,
detskiy-otdyh,Детский отдых / лагерь,Вымпел,Вымпел,деревня Ширяево,https://moskva.fulledu.ru/detskiy-otdyh/vympel/about/,
detskiy-otdyh,Детский отдых / лагерь,Галилео Кидс,Галилео Кидс,деревня Малое Уварово,https://moskva.fulledu.ru/detskiy-otdyh/galileo-kids/about/,
detskiy-otdyh,Детский отдых / лагерь,Ган Исроэль,Ган Исроэль,поселок Хуторки,https://moskva.fulledu.ru/detskiy-otdyh/gan-isroel/about/,
detskiy-otdyh,Детский отдых / лагерь,Гольф Академия,Гольф Академия,коттеджный поселок Сорочаны,https://moskva.fulledu.ru/detskiy-otdyh/golf-akademiya/about/,
detskiy-otdyh,Детский отдых / лагерь,ГольфСтрим,ГольфСтрим,Химки,https://moskva.fulledu.ru/detskiy-otdyh/golfstrim/about/,
detskiy-otdyh,Детский отдых / лагерь,Городские Странники,Городские Странники,Москва,https://moskva.fulledu.ru/detskiy-otdyh/gorodskie-stranniki/about/,
detskiy-otdyh,Детский отдых / лагерь,Городской лагерь ЗИЛ,Городской лагерь ЗИЛ,Москва,https://moskva.fulledu.ru/detskiy-otdyh/gorodskoy-lager-zil/about/,
detskiy-otdyh,Детский отдых / лагерь,Городской спортивный лагерь BUSHIDO,Городской спортивный лагерь BUSHIDO,Королев,https://moskva.fulledu.ru/detskiy-otdyh/gorodskoy-sportivnyy-lager-bushido/about/,http://www.bushido-camp.ru
detskiy-otdyh,Детский отдых / лагерь,Гусёнок,Гусёнок,деревня Поздняково,https://moskva.fulledu.ru/detskiy-otdyh/gusnok/about/,
detskiy-otdyh,Детский отдых / лагерь,Дерево сказок,Дерево сказок,Москва,https://moskva.fulledu.ru/detskiy-otdyh/derevo-skazok/about/,
detskiy-otdyh,Детский отдых / лагерь,Детская здравница имени Ю.А. Гагарина,Детская здравница имени Ю.А. Гагарина,деревня Петрово,https://moskva.fulledu.ru/detskiy-otdyh/detskaya-zdravnica-imeni-ua-gagarina/about/,
detskiy-otdyh,Детский отдых / лагерь,Детские лагеря Дмитрия и Матвея Шпаро. Большое приключение.,Детские лагеря Дмитрия и Матвея Шпаро. Большое приключение.,Руза,https://moskva.fulledu.ru/detskiy-otdyh/detskie-lagerya-dmitriya-i-matveyashparo-bolshoe-prikluchenieotkrytie/about/,http://pro-camp.ru
detskiy-otdyh,Детский отдых / лагерь,Детский Active Клуб,Детский Active Клуб,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-active-klub/about/,
detskiy-otdyh,Детский отдых / лагерь,Детский оздоровительный лагерь им.Ю. А. Гагарина,Детский оздоровительный лагерь им.Ю. А. Гагарина,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-ozdorovitelnyy-lager-imu-a-gagarina/about/,
detskiy-otdyh,Детский отдых / лагерь,Детский центр и городской лагерь Наши дети в Марьино,Детский центр и городской лагерь Наши дети в Марьино,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-centr-i-gorodskoy-lager-nashi-deti-v-marino/about/,http://studiobaby.ru/
detskiy-otdyh,Детский отдых / лагерь,Дискавери. PROFI,Дискавери. PROFI,Химки,https://moskva.fulledu.ru/detskiy-otdyh/diskaveri-profi/about/,
detskiy-otdyh,Детский отдых / лагерь,Дом Волшебников,Дом Волшебников,Москва,https://moskva.fulledu.ru/detskiy-otdyh/dom-volshebnikov/about/,
detskiy-otdyh,Детский отдых / лагерь,Дорога добра,Дорога добра,Королев,https://moskva.fulledu.ru/detskiy-otdyh/doroga-dobra/about/,
detskiy-otdyh,Детский отдых / лагерь,Дружба,Дружба,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/druzhba-1670-8833/about/,
detskiy-otdyh,Детский отдых / лагерь,Дружите.ру STAR WARS Возвращение Джедаев,Дружите.ру STAR WARS Возвращение Джедаев,,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-star-wars-vozvraschenie-dzhedaev/about/,
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Анимагия,ДРУЖИТЕ.РУ. Анимагия,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-animagiya/about/,
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Мыс Рока,ДРУЖИТЕ.РУ. Мыс Рока,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-mys-roka/about/,
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Штормград,ДРУЖИТЕ.РУ. Штормград,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-shtormgrad/about/,
detskiy-otdyh,Детский отдых / лагерь,Дубки,Дубки,Ивантеевка,https://moskva.fulledu.ru/detskiy-otdyh/dubki-1461-2477/about/,
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Алтуфьевское шоссе),Евроклуб (Алтуфьевское шоссе),,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-altufevskoe-shosse/about/,
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Звенигород),Евроклуб (Звенигород),Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-zvenigorod/about/,
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Каширское шоссе),Евроклуб (Каширское шоссе),Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-kashirskoe-shosse/about/,
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Киевское шоссе),Евроклуб (Киевское шоссе),деревня Валуево,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-kievskoe-shosse/about/,
detskiy-otdyh,Детский отдых / лагерь,"Евроклуб (Новорижское ш, 90 км от Москвы)","Евроклуб (Новорижское ш, 90 км от Москвы)",деревня Нововолково,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-novorizhskoe-sh-90-km-ot-moskvy/about/,
detskiy-otdyh,Детский отдых / лагерь,ЕГЭ-экспресс: 7дней на100 баллов!,ЕГЭ-экспресс: 7дней на100 баллов!,Москва,https://moskva.fulledu.ru/detskiy-otdyh/programma-ege-ekspress-7dney-na100-ballov/about/,
detskiy-otdyh,Детский отдых / лагерь,Занято.ru,Занято.ru,,https://moskva.fulledu.ru/detskiy-otdyh/zanyatoru/about/,
detskiy-otdyh,Детский отдых / лагерь,Заря на озере Круглом,Заря на озере Круглом,деревня Рыбаки,https://moskva.fulledu.ru/detskiy-otdyh/zarya-na-ozere-kruglom/about/,http://www.dcozarya.com/
detskiy-otdyh,Детский отдых / лагерь,Звезда успеха,Звезда успеха,Москва,https://moskva.fulledu.ru/detskiy-otdyh/zvezda-uspeha/about/,
detskiy-otdyh,Детский отдых / лагерь,Звенигород,Звенигород,село Шарапово,https://moskva.fulledu.ru/detskiy-otdyh/zvenigorod/about/,
detskiy-otdyh,Детский отдых / лагерь,Зеленый шум,Зеленый шум,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/zelenyy-shum/about/,
detskiy-otdyh,Детский отдых / лагерь,Исток,Исток,Фрязино,https://moskva.fulledu.ru/detskiy-otdyh/istok/about/,http://www.priozerny.ru
detskiy-otdyh,Детский отдых / лагерь,Калейдоскоп Игр,Калейдоскоп Игр,,https://moskva.fulledu.ru/detskiy-otdyh/kaleydoskop-igr/about/,
detskiy-otdyh,Детский отдых / лагерь,Каникулы-Браво,Каникулы-Браво,поселок дома отдыха Бекасово,https://moskva.fulledu.ru/detskiy-otdyh/kanikuly-bravo/about/,
detskiy-otdyh,Детский отдых / лагерь,Каролина,Каролина,деревня Любучаны,https://moskva.fulledu.ru/detskiy-otdyh/karolina/about/,
