category,category_label,name,legal_name,town
course,Курс,"1Т Спринт, школа онлайн-образования","1Т Спринт, школа онлайн-образования",Москва
course,Курс,"AcademKids, частный детский сад","AcademKids, частный детский сад",Москва
course,Курс,"Allada, школа иностранных языков","Allada, школа иностранных языков",Москва
course,Курс,American club of education,American club of education,Москва
course,Курс,"Applause, творческая студия для детей и взрослых","Applause, творческая студия для детей и взрослых",Москва
course,Курс,"Baby Land, детский сад","Baby Land, детский сад",Москва
course,Курс,"Baza Kids, онлайн-школа программирования","Baza Kids, онлайн-школа программирования",
course,Курс,"Bkc, международный языковой центр","Bkc, международный языковой центр",Москва
course,Курс,"Britannia school, детский сад с английским языком","Britannia school, детский сад с английским языком",Москва
course,Курс,"Brosko, школа","Brosko, школа",Москва
course,Курс,"Businessfox, бизнес-школа","Businessfox, бизнес-школа",Москва
course,Курс,"Combo, спортивно-развивающий клуб","Combo, спортивно-развивающий клуб",Москва
course,Курс,"Cyber Class, школа робототехники для детей","Cyber Class, школа робототехники для детей",Москва
course,Курс,"Discovery, частный английский детский клуб и школа","Discovery, частный английский детский клуб и школа",Москва
course,Курс,"Divelang, школа иностранных языков","Divelang, школа иностранных языков",Москва
course,Курс,"Frenchie, школа французского языка","Frenchie, школа французского языка",Москва
course,Курс,"Happy Panda, центр иностранных языков и раннего развития","Happy Panda, центр иностранных языков и раннего развития",Москва
course,Курс,"Happy Sun, центр образования","Happy Sun, центр образования",Москва
course,Курс,"Heritage International School, английский детский сад","Heritage International School, английский детский сад",Москва
course,Курс,"Ids, компания","Ids, компания",Москва
course,Курс,"IQ007, международная школа развития интеллекта и скорочтения","IQ007, международная школа развития интеллекта и скорочтения",Москва
course,Курс,IT Step Academy,Компьютерная Академия IT STEP,Москва
course,Курс,"Itec, школа иностранных языков","Itec, школа иностранных языков",Москва
course,Курс,"KiberOne, школа программирования","KiberOne, школа программирования",Москва
course,Курс,"Kiberone, школа программирования и цифрового творчества для детей","Kiberone, школа программирования и цифрового творчества для детей",Москва
course,Курс,"KidsUp, частный детский сад и центр развития детей","KidsUp, частный детский сад и центр развития детей",Москва
course,Курс,"LGEG, образовательный центр и билингвальная школа","LGEG, образовательный центр и билингвальная школа",Москва
course,Курс,"Mandarin school, языковой центр","Mandarin school, языковой центр",Москва
course,Курс,"Maximum Education, образовательная компания","Maximum Education, образовательная компания",Москва
course,Курс,"Mcs, Британская школа и английский летний лагерь","Mcs, Британская школа и английский летний лагерь",Москва
course,Курс,"Mcs, британская школа, английский детский сад и летний лагерь","Mcs, британская школа, английский детский сад и летний лагерь",Москва
course,Курс,"Moscow International School, частный детский сад","Moscow International School, частный детский сад",Москва
course,Курс,"Nordic School, школа программирования","Nordic School, школа программирования",Москва
course,Курс,"One! International School, частная школа-детский сад","One! International School, частная школа-детский сад",Москва
course,Курс,OTUS,Общество с ограниченной ответственностью «Отус онлайн-образование»,Москва
course,Курс,"Our children-Our school, английский детский сад","Our children-Our school, английский детский сад",Москва
course,Курс,"Proschool online, онлайн-школа","Proschool online, онлайн-школа",
course,Курс,"Python University, онлайн-школа программирования","Python University, онлайн-школа программирования",
course,Курс,"Renderia, школа цифровых искусств","Renderia, школа цифровых искусств",Москва
course,Курс,S7 training,S7 training,Москва
course,Курс,"Sculpt Art дети, школа лепки и рисования","Sculpt Art дети, школа лепки и рисования",Москва
course,Курс,"Skillbox, онлайн-университет","Skillbox, онлайн-университет",Москва
course,Курс,Skillfactory,SkillFactory — онлайн-академия аналитики и Data Science,Москва
