category,category_label,name,legal_name,town,url,website,website_source
detskiy-otdyh,Детский отдых / лагерь,ART camp,ART camp,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/art-camp/about/,https://ognikovo.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,BabyCamp - уДачное Детство!,BabyCamp - уДачное Детство!,,https://moskva.fulledu.ru/detskiy-otdyh/babycamp-udachnoe-detstvo/about/,https://babycamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Computercamp. Циркус,Computercamp. Циркус,,https://moskva.fulledu.ru/detskiy-otdyh/computercamp-cirkus/about/,https://campik.ru/category/computer-camp,search:bing
detskiy-otdyh,Детский отдых / лагерь,DanceCamp,DanceCamp,,https://moskva.fulledu.ru/detskiy-otdyh/dancecamp/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-laspi.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Discovery Club. LapinoCamp,Discovery Club. LapinoCamp,деревня Семенково,https://moskva.fulledu.ru/detskiy-otdyh/discovery-club-lapinocamp/about/,https://betcity.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Creative,E-Camp. Creative,деревня Веретенки,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-creative/about/,https://dzen.ru/list/travel/lager-otdykh-klass-istrinskii-raion,search:auto
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Special,E-Camp. Special,Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-special/about/,https://bf-camp.ru/city/sanatornyj-lager-vblizi-domodedovo.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,E-Camp. Умные выходные,E-Camp. Умные выходные,Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/e-camp-umnye-vyhodnye/about/,https://secamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Edinburgh School of English,Edinburgh School of English,Химки,https://moskva.fulledu.ru/detskiy-otdyh/edinburgh-school-of-english/about/,https://marhi.ru/AMIT/2025/3kvart25/PDF/AMIT_3(72)_2025.pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,EnglishFUN в отеле Тропикана,EnglishFUN в отеле Тропикана,деревня Пешки,https://moskva.fulledu.ru/detskiy-otdyh/englishfun-v-otele-tropikana/about/,https://dzen.ru/englishclubru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Family English Английский Городской лагерь,Family English Английский Городской лагерь,Санкт-Петербург,https://moskva.fulledu.ru/detskiy-otdyh/family-english-angliyskiy-gorodskoy-lager/about/,https://vlagere.ru/camp/english-effect-city,search:auto
