category,category_label,name,legal_name,town
detskiy-otdyh,Детский отдых / лагерь,akademiya tennisa,akademiya tennisa,
detskiy-otdyh,Детский отдых / лагерь,akademiya zvezd vesenniy mix,akademiya zvezd vesenniy mix,
detskiy-otdyh,Детский отдых / лагерь,alleya zvezd,alleya zvezd,
detskiy-otdyh,Детский отдых / лагерь,angliyskiy klub 1st step,angliyskiy klub 1st step,
detskiy-otdyh,Детский отдых / лагерь,angliyskiy klub tradition,angliyskiy klub tradition,
detskiy-otdyh,Детский отдых / лагерь,art camp,art camp,
detskiy-otdyh,Детский отдых / лагерь,avesta park,avesta park,
detskiy-otdyh,Детский отдых / лагерь,babycamp udachnoe detstvo,babycamp udachnoe detstvo,
detskiy-otdyh,Детский отдых / лагерь,bars,bars,
detskiy-otdyh,Детский отдых / лагерь,bars 914,bars 914,
detskiy-otdyh,Детский отдых / лагерь,charli kinoekspediciya,charli kinoekspediciya,
detskiy-otdyh,Детский отдых / лагерь,charli multilager,charli multilager,
detskiy-otdyh,Детский отдых / лагерь,charli programmy vyhodnogo dnya,charli programmy vyhodnogo dnya,
detskiy-otdyh,Детский отдых / лагерь,chayka 5910,chayka 5910,
detskiy-otdyh,Детский отдых / лагерь,computercamp cirkus,computercamp cirkus,
detskiy-otdyh,Детский отдых / лагерь,dancecamp,dancecamp,
detskiy-otdyh,Детский отдых / лагерь,derevo skazok,derevo skazok,
detskiy-otdyh,Детский отдых / лагерь,detskaya zdravnica imeni ua gagarina,detskaya zdravnica imeni ua gagarina,
detskiy-otdyh,Детский отдых / лагерь,detskie lagerya dmitriya i matveyashparo bolshoe prikluchenieotkrytie,detskie lagerya dmitriya i matveyashparo bolshoe prikluchenieotkrytie,
detskiy-otdyh,Детский отдых / лагерь,detskiy active klub,detskiy active klub,
detskiy-otdyh,Детский отдых / лагерь,detskiy centr i gorodskoy lager nashi deti v marino,detskiy centr i gorodskoy lager nashi deti v marino,
detskiy-otdyh,Детский отдых / лагерь,detskiy ozdorovitelnyy lager imu a gagarina,detskiy ozdorovitelnyy lager imu a gagarina,
detskiy-otdyh,Детский отдых / лагерь,detskiy prikluchencheskiy lager beskonechnaya istoriya,detskiy prikluchencheskiy lager beskonechnaya istoriya,
detskiy-otdyh,Детский отдых / лагерь,detskiy sovremennyy lager orange republic,detskiy sovremennyy lager orange republic,
detskiy-otdyh,Детский отдых / лагерь,discovery club lapinocamp,discovery club lapinocamp,
detskiy-otdyh,Детский отдых / лагерь,diskaveri profi,diskaveri profi,
detskiy-otdyh,Детский отдых / лагерь,dom volshebnikov,dom volshebnikov,
detskiy-otdyh,Детский отдых / лагерь,doroga dobra,doroga dobra,
detskiy-otdyh,Детский отдых / лагерь,druzhba 1670,druzhba 1670,
detskiy-otdyh,Детский отдых / лагерь,druzhiteru animagiya,druzhiteru animagiya,
detskiy-otdyh,Детский отдых / лагерь,druzhiteru mys roka,druzhiteru mys roka,
detskiy-otdyh,Детский отдых / лагерь,druzhiteru shtormgrad,druzhiteru shtormgrad,
detskiy-otdyh,Детский отдых / лагерь,druzhiteru star wars vozvraschenie dzhedaev,druzhiteru star wars vozvraschenie dzhedaev,
detskiy-otdyh,Детский отдых / лагерь,dubki 1461,dubki 1461,
detskiy-otdyh,Детский отдых / лагерь,e camp creative,e camp creative,
detskiy-otdyh,Детский отдых / лагерь,e camp special,e camp special,
detskiy-otdyh,Детский отдых / лагерь,e camp umnye vyhodnye,e camp umnye vyhodnye,
detskiy-otdyh,Детский отдых / лагерь,edinburgh school of english,edinburgh school of english,
detskiy-otdyh,Детский отдых / лагерь,ekspediciya v buduschee,ekspediciya v buduschee,
detskiy-otdyh,Детский отдых / лагерь,energetik 3396,energetik 3396,
detskiy-otdyh,Детский отдых / лагерь,englishfun v otele tropikana,englishfun v otele tropikana,
detskiy-otdyh,Детский отдых / лагерь,evroklub altufevskoe shosse,evroklub altufevskoe shosse,
detskiy-otdyh,Детский отдых / лагерь,evroklub kashirskoe shosse,evroklub kashirskoe shosse,
detskiy-otdyh,Детский отдых / лагерь,evroklub kievskoe shosse,evroklub kievskoe shosse,
detskiy-otdyh,Детский отдых / лагерь,evroklub novorizhskoe sh 90 km ot moskvy,evroklub novorizhskoe sh 90 km ot moskvy,
detskiy-otdyh,Детский отдых / лагерь,evroklub zvenigorod,evroklub zvenigorod,
detskiy-otdyh,Детский отдых / лагерь,eynshteyn,eynshteyn,
