category,category_label,name,legal_name,town,url,website
sadik,Детский сад,"""Арбат""",Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1231 имени В.Д.Поленова,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-2277/about/,http://sch1231.mskobr.ru/dou_edu/doshkol_noe_obrazovanie/
sadik,Детский сад,"""Детский сад №13 городского округа Кашира","""Детский сад №13 городского округа Кашира",Кашира,https://moskva.fulledu.ru/sadik/13-detskiy-sad-centr-razvitiya-rebenka/about/,http://kashds13.edumsko.ru
sadik,Детский сад,"""ДОБРО"" детский коррекционно-развивающий центр для особых детей.","""ДОБРО"" детский коррекционно-развивающий центр для особых детей.",Котельники,https://moskva.fulledu.ru/sadik/dobro-detskiy-korrekcionno-razvivauschiy-centr-dlya-osobyh-detey/about/,
sadik,Детский сад,"""Колобок"" Анадырский проезд, д.49, корп.2",детский сад № 1958,Москва,https://moskva.fulledu.ru/sadik/1958-detskiy-sad-s-yaselnymi-gruppami/about/,http://sch1381.mskobr.ru/dou_edu/doshkol_noe_otdelenie_1958/
sadik,Детский сад,"""Мозаика""","Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1770""",Москва,https://moskva.fulledu.ru/sadik/1368-detskiy-sad-kombinirovannogo-tipa-logopedicheskiy/about/,http://sch1770.mskobr.ru/dou_edu/kolomenskaya_ulica_27_korp_2/
sadik,Детский сад,"""МОЗАЙКА""","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 ""Мультипрофильный образовательный комплекс ""Пресненский""",Москва,https://moskva.fulledu.ru/sadik/342-detskiy-sad-s-logopedicheskoy-gruppoy-i-gruppoy-s-zaderzhkoy-psihicheskogo-razvitiya/about/,http://sch1240.mskobr.ru/dou_edu/do-3/
sadik,Детский сад,"""Орленок""","""Орленок""",Королев,https://moskva.fulledu.ru/sadik/dol-orlenok/about/,http://spaceholiday.ru/
sadik,Детский сад,"""Радуга"" ул.Коминтерна, д.24",1240,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1240-s-yaselnoy-i-kruglosutochnoy-gruppami/about/,http://sch1381.mskobr.ru/dou_edu/doshkol_noe_obrazovanie_1240/
sadik,Детский сад,"""Теремок"" Здание № 9",Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 904,Москва,https://moskva.fulledu.ru/sadik/1516-detskiy-sad/about/,http://sch904u.mskobr.ru/dou_edu/doshkol_noe_otdelenie/
sadik,Детский сад,"""Теремок"" ул.Норильская, д.6, корп.1",2379,Москва,https://moskva.fulledu.ru/sadik/2379-detskiy-sad/about/,http://sch1381.mskobr.ru/dou_edu/doshkol_noe_otdelenie_2379/
sadik,Детский сад,"""УЛЫБКА""","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 ""Мультипрофильный образовательный комплекс ""Пресненский""",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1931/about/,http://sch1240.mskobr.ru/dou_edu/do-8/
sadik,Детский сад,&nbsp;,724,Москва,https://moskva.fulledu.ru/sadik/724-detskiy-sad-dlya-detey-s-narusheniem-zreniya/about/,http://gym1637.mskobr.ru/dou_edu/doshkol_noe_otdelenie_724/
sadik,Детский сад,(здание №10),Государственное бюджетное образовательное учреждение города Москвы детский сад № 532,Москва,https://moskva.fulledu.ru/sadik/532-detskiy-sad-s-yaselnoy-i-logopedicheskoy-gruppoy/about/,http://lyc507u.mskobr.ru/dou_edu/10/
sadik,Детский сад,(здание №5),"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 507""",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-2678/about/,http://lyc507u.mskobr.ru/dou_edu/skazka_zdanie_5/
sadik,Детский сад,(Здание №6),355,Москва,https://moskva.fulledu.ru/sadik/355-detskiy-sad-s-yaselnoy-gruppoy/about/,http://lyc507u.mskobr.ru/dou_edu/raduga_zdanie_6/
sadik,Детский сад,(здание №8),детский сад № 1407,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1407-centr-razvitiya-rebenka/about/,http://lyc507u.mskobr.ru/dou_edu/zolotoj_klyuchik_zdanie_8/
sadik,Детский сад,*,Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка-детский сад № 516,Москва,https://moskva.fulledu.ru/sadik/516-detskiy-sad-s-logopedicheskimi-gruppami/about/,http://lyc1574.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_6/
sadik,Детский сад,*,1497,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1497/about/,http://lyc1574.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_4/
sadik,Детский сад,"* Долгоруковская улица, дом 29, строение 2 , Оружейный переулок, дом 25, строение 1А",513,Москва,https://moskva.fulledu.ru/sadik/513-detskiy-sad/about/,http://lyc1574.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_5/
sadik,Детский сад,"- детский сад №17 ""Пчелка""","- детский сад №17 ""Пчелка""",поселок Володарского,https://moskva.fulledu.ru/sadik/detskiy-sad-mbdou-crr-ds-17-pchelka/about/,http://lends17-pchelka.edumsko.ru
sadik,Детский сад,1-е здание дошкольных групп,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1541""",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1807/about/,http://gym1541.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_doshkol_nogo_obrazovaniya_1/
sadik,Детский сад,"1-й дошкольный корпус ""№1921""","Государственное бюджетное общеобразовательное учреждение города Москвы ""Многопрофильный лицей № 1501""",Москва,https://moskva.fulledu.ru/sadik/1921-detskiy-sad/about/,http://lycc1501.mskobr.ru/dou_edu/1-e_doshkol_noe_otdelenie_quot_1921_quot/
sadik,Детский сад,2-е здание дошкольных групп,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1541""",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1853/about/,http://gym1541.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_doshkol_nogo_obrazovaniya_2/
sadik,Детский сад,"2-й дошкольный корпус ""№1921""","Государственное бюджетное общеобразовательное учреждение города Москвы ""Многопрофильный лицей № 1501""",Москва,https://moskva.fulledu.ru/sadik/1918-detskiy-sad-logopedicheskiy-dlya-detey-s-narusheniem-opornodvigatelnogo-apparata/about/,http://lycc1501.mskobr.ru/dou_edu/2-e_doshkol_noe_otdelenie_quot_1921_quot/
sadik,Детский сад,3 корпус,2335,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-2335-s-yaselnymi-gruppami/about/,http://lyc1550.mskobr.ru/dou_edu/sp_-_3/
sadik,Детский сад,3-й корпус,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1393 ""Школа РОСТ""",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1138-s-yaselnymi-gruppami/about/,http://sch1393uv.mskobr.ru/dou_edu/3-j_korpus/
sadik,Детский сад,4 корпус,1727,Москва,https://moskva.fulledu.ru/sadik/1727-detskiy-sad/about/,http://lyc1550.mskobr.ru/dou_edu/sp_-_4/
sadik,Детский сад,4 корпус (ДОУ),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1166-s-yaselnymi-gruppami/about/,http://sch544u.mskobr.ru/dou_edu/4_korpus/
sadik,Детский сад,5 корпус (ДОУ),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/sadik/1241-detskiy-sad-s-yaselnymi-gruppami/about/,http://sch544u.mskobr.ru/dou_edu/5_korpus1/
sadik,Детский сад,6 корпус (ДОУ),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/sadik/1570-detskiy-sad-kompensiruuschego-vida-dlya-detey-s-narusheniem-rechi/about/,http://sch544u.mskobr.ru/dou_edu/6_korpus/
sadik,Детский сад,8 корпус (ДОУ),2375,Москва,https://moskva.fulledu.ru/sadik/2375-detskiy-sad/about/,http://sch544u.mskobr.ru/dou_edu/8_korpus/
sadik,Детский сад,9 корпус (ДОУ),9 корпус (ДОУ),Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-38-kruglosutochnyy/about/,http://sch544u.mskobr.ru/dou_edu/9_korpus_dou/
sadik,Детский сад,Childrens-club,Childrens-club,Красногорск,https://moskva.fulledu.ru/sadik/childrens-club/about/,http://childrens-club.com
sadik,Детский сад,CitYkids,CitYkids,Москва,https://moskva.fulledu.ru/sadik/citykids/about/,http://www.citykids.msk.ru
sadik,Детский сад,Green apples,Green apples,Одинцово,https://moskva.fulledu.ru/sadik/chastnyy-anglorusskiy-detskiy-sad-green-apples/about/,
sadik,Детский сад,IQmama-развивающий центр для детей,IQmama-развивающий центр для детей,Москва,https://moskva.fulledu.ru/sadik/iqmama-razvivauschiy-centr-dlya-detey/about/,http://iqmama-moscow.ru
sadik,Детский сад,LoVe KiDs,LoVe KiDs,Орехово-Зуево,https://moskva.fulledu.ru/sadik/love-kids/about/,
sadik,Детский сад,MontessoriKid,MontessoriKid,Москва,https://moskva.fulledu.ru/sadik/montessorikid/about/,http://www.montessorikid.ru
sadik,Детский сад,Wonder Creative Learning Preschool,Wonder Creative Learning Preschool,Москва,https://moskva.fulledu.ru/sadik/wonder-creative-learning-preschool/about/,http://thewonderschool.ru
sadik,Детский сад,Аистенок,Аистенок,Химки,https://moskva.fulledu.ru/sadik/detskiy-sad-mbdou-17-aistenok/about/,http://ds17himki.edumsko.ru
sadik,Детский сад,Аистенок,"Муниципальное Дошкольное Образовательное Учреждение Детский Сад Общеразвивающего Вида №28 ""аистенок""",Подольск,https://moskva.fulledu.ru/sadik/mdou-detskiy-sad-obscherazvivauschego-vida-28-aistenok/about/,
sadik,Детский сад,Аистёнок,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 2200""",Москва,https://moskva.fulledu.ru/sadik/338-detskiy-sad/about/,http://gymnasium2200.mskobr.ru/dou_edu/doshkol_noe_otdelenie/
sadik,Детский сад,Академическая гимназия,Академическая гимназия,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-akademicheskaya-gimnaziya-na-zarayskoy/about/,http://academ-school.ru
sadik,Детский сад,Академия возможностей,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 423""",Москва,https://moskva.fulledu.ru/sadik/843-detskiy-sad-s-yaselnoy-gruppoy/about/,http://sch423.mskobr.ru/primary_edu/nachal_noe_obuchenie/
sadik,Детский сад,Академия детства,Государственное бюджетное образовательное учреждение города Москвы гимназия №1272,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1876-kompensiruuschego-vida-dlya-detey-s-narusheniem-opornodvigatelnogo-apparata/about/,http://sch1272.mskobr.ru/dou_edu/akademiya_detstva/
sadik,Детский сад,Академия им. М. Ю. Лермонтова,Академия им. М. Ю. Лермонтова,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-detskiy-centr-obrazovaniya-akademiya-im-m-u-lermontova/about/,http://www.kiprida.ru
sadik,Детский сад,Академия Развития,Академия Развития,Москва,https://moskva.fulledu.ru/sadik/1241-detskiy-sad/about/,http://akademiyarazvitiya.ru
sadik,Детский сад,Акварелька,эстетическому развитию детей № 1144,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1144-fizkulturnoozdorovitelnyy/about/,http://2123.mskobr.ru/dou_edu/doshkol_noe_otdelenie2/
sadik,Детский сад,Акварелька,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 492,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-1878/about/,http://sch492u.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_1_akvarel_ka/
sadik,Детский сад,Александровский,1280,Москва,https://moskva.fulledu.ru/sadik/1280-detskiy-sad-s-yaselnymi-gruppami/about/,http://karamzin.mskobr.ru/dou_edu/gbou_shkola_1108/
sadik,Детский сад,Аленушка,Аленушка,Химки,https://moskva.fulledu.ru/sadik/detskiy-sad-54-alenushka-centr-razvitiya-rebenka/about/,http://ds54himki.edumsko.ru
sadik,Детский сад,Аленушка,"Муниципальное Дошкольное Образовательное Учреждение  Детский Сад Комбинированного Вида №23 ""аленушка""",Клин,https://moskva.fulledu.ru/sadik/mdou-detskiy-sad-kombinirovannogo-vida-23-alenushka/about/,
sadik,Детский сад,Аленький цветочек,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1228""",Москва,https://moskva.fulledu.ru/sadik/605-detskiy-sad-kompensiruuschego-vida-dlya-detey-s-narusheniem-rechi/about/,http://sch1228.mskobr.ru/dou_edu/alen_kij_cvetochek/
sadik,Детский сад,Аленький цветочек,Аленький цветочек,Ликино-Дулево,https://moskva.fulledu.ru/sadik/detskiy-sad-mdou-ds-21-alenkiy-cvetochek/about/,http://ozr-dou21.edumsko.ru
sadik,Детский сад,Аленький цветочек,"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2578 ""Аленький цветочек""",Москва,https://moskva.fulledu.ru/sadik/gbou-detskiy-sad-2578-alenkiy-cvetochek/about/,
sadik,Детский сад,Аленький цветочек,Аленький цветочек,Подольск,https://moskva.fulledu.ru/sadik/detskiy-sad-centr-vospitaniya-detey-rannego-vozrasta-zolotoy-kluchik/about/,http://klimovskds18.edumsko.ru
sadik,Детский сад,"Алтайская ул., дом 2А","Алтайская ул., дом 2А",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-225-kompensiruuschego-vida-dlya-detey-s-narusheniem-rechi/about/,http://sch1078.mskobr.ru/dou_edu/doshkol_noe_podrazdelenie_1/
sadik,Детский сад,"Алтайская ул., дом 6А",144,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-144-s-yaselnoy-gruppoy/about/,http://sch1078.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_3/
sadik,Детский сад,Алые паруса,229,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-229-s-yaselnymi-gruppami/about/,http://sch1272.mskobr.ru/dou_edu/alye_parusa/
sadik,Детский сад,Алые паруса,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1005 ""Алые паруса""",Москва,https://moskva.fulledu.ru/sadik/gbou-crr-detskiy-sad-2452-alye-parusa/about/,http://sch1005sz.mskobr.ru/dou_edu/doshkol_noe_otdelenie_quot_alye_parusa_quot_ul_aviacionnaya_d_71/
sadik,Детский сад,Алые паруса,"Муниципальное Дошкольное Образовательное Учреждение Детский Сад Общеразвивающего Вида №31 ""алые Паруса""",Подольск,https://moskva.fulledu.ru/sadik/mdou-detskiy-sad-obscherazvivauschego-vida-31-alye-parusa/about/,
