category,category_label,name,legal_name,town,url,website
school,Школа,"""30""",Государственное казенное общеобразовательное учреждение города Москвы «Школа № 2124 «Центр развития и коррекции»,Москва,https://moskva.fulledu.ru/school/shkola-30-5440-773183/about/,https://sch2124.mskobr.ru
school,Школа,"""Лицей""","""Лицей""",Балашиха,https://moskva.fulledu.ru/school/shkola-mbou-licey/about/,https://bal-sch11.edumsko.ru
school,Школа,"""Лицей"" г. Бронницы","""Лицей"" г. Бронницы",Бронницы,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-3-s-uglublnnym-izucheniem-otdelnyh-predmetov/about/,https://brongoo.edumsko.ru/educational_space/obweobrazovatelnye_organizacii
school,Школа,(К)ОУ школа-интернат VIII вида,"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОРРЕКЦИОННАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ"" ГОРОДСКОГО ОКРУГА СТУПИНО МОСКОВСКОЙ ОБЛАСТИ",Ступино,https://moskva.fulledu.ru/school/kou-shkola-internat-viii-vida/about/,https://oshkolah.ru/rossiya/moskva/school/kou-shkola-internat-viii-vida
school,Школа,(коррекционная) казённая образовательная школа № 8 VIII вида,Муниципальное специальное (коррекционное) казённое образовательное учреждение для обучающихся; воспитанников с ограниченными возможностями здоровья специальная (коррекционная) общеобразовательная школа № 8 VIII вида Павлово-Посадского муниципального район,Павловский Посад,https://moskva.fulledu.ru/school/korrekcionnaya-kaznnaya-obrazovatelnaya-shkola-8-viii-vida/about/,https://15kids.ru/institutions/school/moskovskaya-oblast/pavlovskij-posad/37600.html
school,Школа,(коррекционная) общеобразовательная школа - интернат,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БЕРСЕНЕВСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""",деревня Берсеневка,https://moskva.fulledu.ru/school/korrekcionnaya-obscheobrazovatelnaya-shkola-internat/about/,https://kashkorsch.edumsko.ru
school,Школа,(коррекционная) общеобразовательная школа-интернат,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫШЕГОРОДСКАЯ ШКОЛА-ИНТЕРНАТ ДЛЯ ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ,деревня Вышегород,https://moskva.fulledu.ru/school/korrekcionnaya-obscheobrazovatelnaya-shkola-internat-2754-717075/about/,https://kashkorsch.edumsko.ru
school,Школа,(коррекционная) общеобразовательная школа-интернат VIII вида,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОРОБЧЕЕВСКАЯ ШКОЛА ДЛЯ ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""",село Коробчеево,https://moskva.fulledu.ru/school/korrekcionnaya-obscheobrazovatelnaya-shkola-internat-viii-vida-3661-212224/about/,https://korobcheevo-kolomna.edumsko.ru
school,Школа,(коррекционная) общеобразовательная школа-интернат для слепых и слабовидящих детей,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА КОРОЛЁВ МОСКОВСКОЙ ОБЛАСТИ ""ШКОЛА-ИНТЕРНАТ ДЛЯ СЛЕПЫХ И СЛАБОВИДЯЩИХ ДЕТЕЙ""",Королев,https://moskva.fulledu.ru/school/korrekcionnaya-obscheobrazovatelnaya-shkola-internat-dlya-slepyh-i-slabovidyaschih-detey/about/,https://internat.edusite.ru/p1aa1.html
school,Школа,(коррекционная) школа - интернат,МУНИЦИПАЛЬНОЕ СПЕЦИАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЗАПРУДНЕНСКАЯ ШКОЛА-ИНТЕРНАТ ДЛЯ ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ,поселок городского типа Запрудня,https://moskva.fulledu.ru/school/korrekcionnaya-shkola-internat/about/,https://zaprobr.edumsko.ru/activity/classes/420522
school,Школа,(сменная) общеобразовательная школа,(сменная) общеобразовательная школа,Подольск,https://moskva.fulledu.ru/school/smennaya-obscheobrazovatelnaya-shkola-8743-447576/about/,https://schoolotzyv.ru/schools/9-russia/143-moskovskaya/71467-shkola-34
school,Школа,(сменная) общеобразовательная школа,(сменная) общеобразовательная школа,Жуковский,https://moskva.fulledu.ru/school/smennaya-obscheobrazovatelnaya-shkola-7620-306503/about/,https://schoolme.ru/jukovskiy/mou-vssh
school,Школа,(сменная) общеобразовательная школа,(сменная) общеобразовательная школа,Зарайск,https://moskva.fulledu.ru/school/smennaya-obscheobrazovatelnaya-shkola-7350-859252/about/,https://uo-zar.edumsko.ru
school,Школа,(сменная) общеобразовательная школа г. Талдома,(сменная) общеобразовательная школа г. Талдома,Талдом,https://moskva.fulledu.ru/school/smennaya-obscheobrazovatelnaya-shkola-g-taldoma/about/,https://mo.mosreg.ru/download/document/15882780
school,Школа,(сменная) общеобразовательная школа №1,(сменная) общеобразовательная школа №1,Луховицы,https://moskva.fulledu.ru/school/smennaya-obscheobrazovatelnaya-shkola-1/about/,https://edu-s.ru/luhovitsyi/shkola--1
